	Atlas	Tissue	Cell.types	Number.of.genes
625	MCA	PeripheralBlood	PeripheralBlood.Monocyte_Elane high	0
626	MCA	PeripheralBlood	PeripheralBlood.Monocyte_F13a1 high	0
627	MCA	PeripheralBlood	PeripheralBlood.Neutrophil_Camp high	0
629	MCA	PeripheralBlood	PeripheralBlood.Neutrophil_Ltf high	0
632	MCA	PeripheralBlood	PeripheralBlood.T cell_Gm14303 high	0
634	MCA	Placenta	Placenta.B cell	0
635	MCA	Placenta	Placenta.Basophil	0
637	MCA	Placenta	Placenta.Dendritic cell	0
639	MCA	Placenta	Placenta.Endothelial cell_Maged2 high	0
640	MCA	Placenta	Placenta.Erythroblast_Hbb-y high	0
6411	MCA	Placenta	Placenta.Granulocyte monocyte progenitors	0
642	MCA	Placenta	Placenta.Granulocyte_Neat1 high	0
643	MCA	Placenta	Placenta.Granulocyte_S100a9 high	0
644	MCA	Placenta	Placenta.HSPC_Lmo2 high	0
646	MCA	Placenta	Placenta.Labyrinthine trophoblast	0
647	MCA	Placenta	Placenta.Macrophage_Apoe high	0
649	MCA	Placenta	Placenta.Megakaryocyte progenitor cell	0
650	MCA	Placenta	Placenta.Monocyte	0
652	MCA	Placenta	Placenta.NKT cell	0
653	MCA	Placenta	Placenta.PE lineage cell_Gkn2 high	0
659	MCA	Placenta	Placenta.Stromal cell	0
660	MCA	Placenta	Placenta.Stromal cell_Acta2 high	0
6611	MCA	Placenta	Placenta.Trophoblast progenitor_Taf7l high	0
662	MCA	Prostate	Prostate.Dendritic cell	0
663	MCA	Prostate	Prostate.Epithelial cell	0
664	MCA	Prostate	Prostate.Glandular epithelium	0
666	MCA	Prostate	Prostate.Stromal cell	0
667	MCA	Prostate	Prostate.T cell	0
668	MCA	SmallIntestine	SmallIntestine.B cell_Ighd high	0
669	MCA	SmallIntestine	SmallIntestine.B cell_Igkv12-46 high	0
6711	MCA	SmallIntestine	SmallIntestine.B cell_Ms4a1 high	0
673	MCA	SmallIntestine	SmallIntestine.Dendritic cell_Siglech high	0
674	MCA	SmallIntestine	SmallIntestine.Dendrtic cell_Cst3 high	0
676	MCA	SmallIntestine	SmallIntestine.Epithelial cell_Sh2d6 high	0
679	MCA	SmallIntestine	SmallIntestine.Epithelium of small intestinal villi_Gm23935 high	0
680	MCA	SmallIntestine	SmallIntestine.Epithelium of small intestinal villi_mt-Nd1 high	0
6811	MCA	SmallIntestine	SmallIntestine.Epithelium of small intestinal villi_S100g high	0
682	MCA	SmallIntestine	SmallIntestine.Erythroblast	0
683	MCA	SmallIntestine	SmallIntestine.Macrophage_Apoe high	0
684	MCA	SmallIntestine	SmallIntestine.Macrophage_Cxcl2 high	0
685	MCA	SmallIntestine	SmallIntestine.Macrophage_G0s2 high	0
686	MCA	SmallIntestine	SmallIntestine.Mast cell	0
689	MCA	SmallIntestine	SmallIntestine.S cell_Gip high	0
6911	MCA	SmallIntestine	SmallIntestine.Stromal cell_Dcn high	0
692	MCA	SmallIntestine	SmallIntestine.T cell_Ccl5 high	0
694	MCA	SmallIntestine	SmallIntestine.T cell_Icos high	0
695	MCA	SmallIntestine	SmallIntestine.T cell_Ms4a4b high	0
696	MCA	Spleen	Spleen.Dendritic cell_S100a4 high	0
697	MCA	Spleen	Spleen.Dendritic cell_Siglech high	0
698	MCA	Spleen	Spleen.Erythroblast	0
699	MCA	Spleen	Spleen.Granulocyte	0
700	MCA	Spleen	Spleen.Macrophage	0
7011	MCA	Spleen	Spleen.Marginal zone B cell	0
702	MCA	Spleen	Spleen.Monocyte	0
703	MCA	Spleen	Spleen.Neutrophil	0
704	MCA	Spleen	Spleen.NK cell	0
705	MCA	Spleen	Spleen.Plasma cell	0
706	MCA	Spleen	Spleen.T cell	0
708	MCA	Stomach	Stomach.Dendritic cell	0
709	MCA	Stomach	Stomach.Dividing cell	0
7101	MCA	Stomach	Stomach.Epithelial cell_Gkn3 high	0
712	MCA	Stomach	Stomach.Epithelial cell_Pla2g1b high	0
714	MCA	Stomach	Stomach.Gastric mucosal cell	0
715	MCA	Stomach	Stomach.Macrophage	0
716	MCA	Stomach	Stomach.Muscle cell	0
718	MCA	Stomach	Stomach.Pit cell_Gm26917 high	0
720	MCA	Stomach	Stomach.Stomach cell_Gkn2 high	0
722	MCA	Stomach	Stomach.Stomach cell_Muc5ac high	0
723	MCA	Stomach	Stomach.Tuft cell	0
725	MCA	Testis	Testis.Erythroblast_Hbb-bs high	0
727	MCA	Testis	Testis.Macrophage_Lyz2 high	0
730	MCA	Testis	Testis.Preleptotene spermatogonia	0
7311	MCA	Testis	Testis.Sertoli cell	0
732	MCA	Testis	Testis.Spermatids_1700016P04Rik high	0
734	MCA	Testis	Testis.Spermatids_Hmgb4 high	0
735	MCA	Testis	Testis.Spermatids_Tnp1 high	0
737	MCA	Testis	Testis.Spermatocyte_Cabs1 high	0
739	MCA	Testis	Testis.Spermatocyte_Mesp1 high	0
7411	MCA	Testis	Testis.Spermatogonia_1700001P01Rik high	0
742	MCA	Testis	Testis.Spermatogonia_Tbc1d23 high	0
743	MCA	Thymus	Thymus.abT cell	0
745	MCA	Thymus	Thymus.DPT cell	0
746	MCA	Thymus	Thymus.gdT cell	0
747	MCA	Thymus	Thymus.Pre T cell	0
748	MCA	Thymus	Thymus.Proliferating thymocyte	0
749	MCA	Thymus	Thymus.T cell_Id2 high	0
750	MCA	Thymus	Thymus.T cell_Ms4a4b high	0
7511	MCA	TrophoblastStemCells	TrophoblastStemCells.MEF	0
752	MCA	TrophoblastStemCells	TrophoblastStemCells.TS_dif_epithelial	0
753	MCA	TrophoblastStemCells	TrophoblastStemCells.TS_Mrp155_high	0
755	MCA	TrophoblastStemCells	TrophoblastStemCells.TS_Rps28_high	0
756	MCA	Uterus	Uterus.B cell	0
757	MCA	Uterus	Uterus.Dendritic cell	0
758	MCA	Uterus	Uterus.Endothelial cell_Cldn5 high	0
759	MCA	Uterus	Uterus.Endothelial cell_Tm4sf1 high	0
763	MCA	Uterus	Uterus.Keratinocyte	0
764	MCA	Uterus	Uterus.Macrophage	0
765	MCA	Uterus	Uterus.Monocyte	0
766	MCA	Uterus	Uterus.Muscle cell_Mgp high	0
767	MCA	Uterus	Uterus.Muscle cell_Pcp4 high	0
768	MCA	Uterus	Uterus.NK cell	0
769	MCA	Uterus	Uterus.Smooth muscle cell_Rgs5 high	0
771	MCA	Uterus	Uterus.Stromal cell_Cxcl14 high	0
772	MCA	Uterus	Uterus.Stromal cell_Gm23935 high	0
774	MCA	Uterus	Uterus.Stromal cell_Hsd11b2 high	0
