"atlas","dataset","compressed","uncompressed","cells","celltype","sparsity","index_time","total_compressed","total_uncompressed","total_cells","total_index_time"
"TM, 10X","Muscle",11330779,850233320,4543,9,0.934065125213457,4.880535364151,42575993,4952574976,13834,35.2088544368744
"TM, 10X","Marrow",11425301,769715624,4112,9,0.909738797746888,4.95225358009338,54001294,4102341656,17946,29.868613243103
"TM, 10X","Mammary",11872884,838650728,4481,7,0.920141175407399,6.10120701789856,65874178,3332626032,22427,24.4281120300293
"TM, 10X","Spleen",13495767,1789917800,9573,5,0.943478744972334,10.7924256324768,79369945,6742492776,32000,46.5205044746399
"TM, 10X","Lung",16689643,1019488616,5449,15,0.926563737897964,6.62083745002747,96059588,2493975304,37449,17.750554561615
"TM, 10X","Trachea",19125686,2106757736,11269,7,0.936565026077337,12.458441734314,115185274,10527859680,48718,72.6338436603546
"TM, 10X","Tongue",19391665,1409747240,7538,3,0.867144425771001,10.9176449775696,134576939,8421101944,56256,59.7020576000214
"TM, FACS","Thymus",4020215,149182392,1580,3,0.925638781977061,1.81096386909485,4020215,4784616272,1580,85.5051424503326
"TM, FACS","Kidney",4678974,82364216,865,7,0.953352568961858,0.985129356384277,8699189,2832013520,2445,50.7408671379089
"TM, FACS","Spleen",5148418,162078768,1718,4,0.922566445280901,2.33413624763489,13847607,4635433880,4163,83.5662837028503
"TM, FACS","Liver",5443071,93204648,981,6,0.884149816916862,1.54550170898438,19290678,2925218168,5144,52.5042586326599
"TM, FACS","Trachea",5666318,131519968,1391,5,0.858760641581533,1.76627397537231,24956996,5051487736,6535,90.8166854381561
"TM, FACS","Tongue",6772508,135351496,1432,3,0.798257747235007,3.18177795410156,31729504,4919967768,7967,88.8383150100708
"TM, FACS","Bladder",7192696,154602608,1638,4,0.823148819914168,2.91139936447144,38922200,154602608,9605,2.91139936447144
"TM, FACS","Muscle",8876340,197964336,2102,8,0.907781686737617,3.02896070480347,47798540,4056773544,11707,72.7519063949585
"TM, FACS","Skin",9322905,231793960,2464,5,0.861116308073915,4.26752352714539,57121445,4473355112,14171,81.0665538311005
"TM, FACS","BrainMicroglia",9504431,446546656,4762,3,0.91312693004098,5.69426012039185,66625876,601149264,18933,8.76937437057495
"TM, FACS","Mammary",9581045,250390912,2663,5,0.859204557588393,4.17257523536682,76206921,3356845512,21596,60.5036206245422
"TM, FACS","Pancreas",10936512,184787608,1961,10,0.85058608593113,3.36043667793274,87143433,4241561152,23557,76.5567495822906
"TM, FACS","Lung",12277296,181236432,1923,17,0.902000708793186,3.12896513938904,99420729,3106454600,25480,56.10675573349
"TM, FACS","BrainNeurons",14918781,543456384,5799,11,0.914030567696333,5.50726890563965,114339510,1144605648,31279,14.7897701263428
"TM, FACS","Colon",15057003,389260584,4149,6,0.833476788935242,6.84382939338684,129396513,1533866232,35428,21.9762208461761
"TM, FACS","Heart",17564309,666439216,7115,11,0.918158815180584,18.5159652233124,146960822,2749649304,42543,49.5141053199768
"TM, FACS","Marrow",18022124,501963696,5355,9,0.872267163438216,8.41693949699402,164982946,3858809208,47898,69.3287212848663
"TM, FACS","Fat",18739560,549343856,5862,11,0.886590421503705,8.01846075057983,183722506,2083210088,53760,30.4546980857849
"sciATACseq","SmallIntestine",57375544,5462417648,4077,18,0.98750161549877,32.0051348209381,57375544,77695144464,4077,458.70023226738
"sciATACseq","Cerebellum",61713964,3058579456,2278,20,0.983235644933866,21.0803887844086,119089508,14301432912,6355,80.0836889743805
"sciATACseq","Liver",64840724,8255092368,6167,17,0.971168653551864,47.4189257621765,183930232,50884132912,12522,292.361565351486
"sciATACseq","LargeIntestine",75570701,9483067520,7086,20,0.983180260478844,46.8221232891083,259500933,42629040544,19608,242.625439405441
"sciATACseq","Spleen",83282171,5386253792,4020,15,0.972714284790832,34.47993683815,423200819,83081398256,31245,497.433657884598
"sciATACseq","Heart",84509144,10236688832,7650,22,0.979269344185136,54.6044855117798,507709963,24538121744,38895,137.770075321198
"sciATACseq","BoneMarrow",95406865,11242853456,8403,18,0.986048952433217,56.080402135849,603116828,11242853456,47298,56.080402135849
"sciATACseq","Kidney",111288377,8607851280,6431,26,0.972947885883866,50.6556620597839,714405205,33145973024,53729,192.87079000473
"sciATACseq","PreFrontalCortex",121183868,7977161104,5959,22,0.960747491867127,49.3284757137299,835589073,72232726816,59688,423.803082466125
"MOCA","Lens",987992,29966344,135,1,0.972487702933456,0.191150903701782,987992,112288450720,135,890.480046749115
"MOCA","Megakaryocytes",2215859,284545624,1351,1,0.974538347475505,1.1012966632843,3203851,118090448568,1486,924.478141307831
"MOCA","Melanocytes",2810902,425653304,2025,1,0.974327066572651,1.62095785140991,6014753,118516101872,3511,926.218005180359
"MOCA","CardiacMuscleLineages",3501144,562364288,2678,1,0.970951743757888,2.22478532791138,9515897,562364288,6189,2.22478532791138
"MOCA","WhiteBloodCells",6225660,1504474736,7178,1,0.976195188333085,9.53464269638062,15741557,218551142928,13367,1649.16068458557
"MOCA","CholinergicNeurons",7034331,1441667920,6878,1,0.968444539314081,6.34842491149902,22775888,2004032208,20245,8.75982689857483
"MOCA","EpendymalCell",7376843,1731000400,8260,1,0.974155097158689,7.39317274093628,30152731,34466825120,28505,244.78622841835
"MOCA","Hepatocytes",8615430,2280356624,10884,1,0.976049859307751,9.84418606758118,38768161,66866361440,39389,499.475718975067
"MOCA","InhibitoryInterneurons",9002566,2811080648,13419,1,0.979971750544726,12.4116368293762,47770727,69677442088,52808,512.042381763458
"MOCA","PrimitiveErythroidLineage",9698252,3166361456,15116,1,0.980088445061229,18.7775011062622,57468979,189228313328,67924,1433.06485462189
"MOCA","GranuleNeurons",10398472,3171385872,15140,1,0.978593559532494,16.3922789096832,67867451,64586004816,83064,489.481682300568
"MOCA","DefinitiveErythroidLineage",11736531,3552629352,16961,1,0.977904246483814,19.1731762886047,79603982,12502352184,100025,68.1232583522797
"MOCA","NotochordCells",12444115,3204462080,15298,1,0.973039691788802,18.3491990566254,92048097,152292585480,115323,1170.48415207863
"MOCA","StromalCells",13074127,4004420200,19119,1,0.978431758154601,21.6850762367249,105122224,217046668192,134442,1639.36673402786
"MOCA","Osteoblasts",15492809,4738427160,22625,1,0.978052678601224,25.9138903617859,120615033,168364851072,157067,1278.92860126495
"MOCA","SchwannCellPrecursor",18069958,4796210696,22901,1,0.972644281210307,28.09494805336,138684991,207629269152,179968,1585.59772706032
"MOCA","EndothelialCells",20020635,5298673224,25301,1,0.971956954726595,31.2788646221161,158705626,32735824720,205269,237.213668584824
"MOCA","InhibitoryNeuronProgenitors",20311027,6412249392,30620,1,0.976995717727807,43.9496116638184,179016653,76089691480,235889,556.199559211731
"MOCA","LimbMesenchyme",20738191,5517452224,26346,1,0.971952844972415,32.5575115680695,199754844,117805902944,262235,923.269488811493
"MOCA","PrematureOligodendrocyte",21243462,6167717584,29452,1,0.974785760073109,33.740184545517,220998306,186061951872,291687,1414.05743479729
"MOCA","SensoryNeurons",21810029,5412978840,25847,1,0.969580060977022,31.6681156158447,242808335,213042247992,317534,1617.48872470856
"MOCA","ChondroctyeProgenitors",26713370,6945690624,33168,1,0.970722231615091,39.7701315879822,269521705,8949722832,350702,48.7650325298309
"MOCA","InhibitoryNeurons",29222381,9235233584,44104,1,0.976300143574896,52.4358797073364,298744086,85324925064,394806,608.852575063705
