"density","motif","jasparid","celltype","tissue","pval"
0.185194738199639,"Hnf4a","MA0114.3","Heart.cardiac muscle cell(control)","Heart",""
0.0714469950993036,"Cebpa","MA0102.1","Heart.cardiac muscle cell(control)","Heart",""
0.33041958041958,"Nr5a2","MA0505.1","Spleen.B cell(control)","Spleen",""
0.347027972027972,"MEF2C","MA0497.1","Spleen.B cell(control)","Spleen",""
0.192307692307692,"Nkx2-5","MA0503.1","Spleen.B cell(control)","Spleen",""
0.151223776223776,"Gata4","MA0482.1","Spleen.B cell(control)","Spleen",""
0.203671328671329,"MEF2A","MA0052.1","Spleen.B cell(control)","Spleen",""
0.382867132867133,"CTCF","MA0139.1","Spleen.B cell(control)","Spleen",""
0.178321678321678,"Esrrb","MA0141.1","Spleen.B cell(control)","Spleen",""
0.145979020979021,"NFKB1","MA0105.1","Spleen.B cell(control)","Spleen",""
0.303321678321678,"SPI1","MA0080.4","Spleen.B cell(control)","Spleen",""
0.166958041958042,"Lhx3","PH0093.1","Spleen.B cell(control)","Spleen",""
0.153846153846154,"HNF1A","MA0046.1","Spleen.B cell(control)","Spleen",""
0.102272727272727,"CEBPB","MA0466.1","Spleen.B cell(control)","Spleen",""
0.0821678321678322,"PBX1","MA0070.1","Spleen.B cell(control)","Spleen",""
0.138986013986014,"TBX5","MA0807.1","Spleen.B cell(control)","Spleen",""
0.357517482517482,"Pparg::Rxra","MA0065.2","Spleen.B cell(control)","Spleen",""
0.189685314685315,"Hnf4a","MA0114.3","Spleen.B cell(control)","Spleen",""
0.0699300699300699,"Cebpa","MA0102.1","Spleen.B cell(control)","Spleen",""
0.307848371596369,"Nr5a2","MA0505.1","Liver.hepatocyte(control)","Liver",""
0.322690870261612,"MEF2C","MA0497.1","Liver.hepatocyte(control)","Liver",""
0.176721836625734,"Nkx2-5","MA0503.1","Liver.hepatocyte(control)","Liver",""
0.126214628937533,"Gata4","MA0482.1","Liver.hepatocyte(control)","Liver",""
0.175867592098238,"MEF2A","MA0052.1","Liver.hepatocyte(control)","Liver",""
0.329738387613454,"CTCF","MA0139.1","Liver.hepatocyte(control)","Liver",""
0.199252536038441,"Esrrb","MA0141.1","Liver.hepatocyte(control)","Liver",""
0.13806727175654,"NFKB1","MA0105.1","Liver.hepatocyte(control)","Liver",""
0.230859583555793,"SPI1","MA0080.4","Liver.hepatocyte(control)","Liver",""
0.144687666844634,"Lhx3","PH0093.1","Liver.hepatocyte(control)","Liver",""
0.159209823812066,"HNF1A","MA0046.1","Liver.hepatocyte(control)","Liver",""
0.0988788040576615,"CEBPB","MA0466.1","Liver.hepatocyte(control)","Liver",""
0.0828617191671116,"PBX1","MA0070.1","Liver.hepatocyte(control)","Liver",""
0.110517885744794,"TBX5","MA0807.1","Liver.hepatocyte(control)","Liver",""
0.330165509877202,"Pparg::Rxra","MA0065.2","Liver.hepatocyte(control)","Liver",""
0.185264281900694,"Hnf4a","MA0114.3","Liver.hepatocyte(control)","Liver",""
0.0782701548318206,"Cebpa","MA0102.1","Liver.hepatocyte(control)","Liver",""
