"atlas","tissue","celltype","method","no_of_markers","loading_time","query_time"
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","2",0.103999999999985,0.0740000000000123
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","2",0.0660000000000025,0.0729999999999791
"TM, FACS","Bladder","Bladder.bladder cell","scfind","3",0.853000000000009,0.0190000000000055
"TM, FACS","Bladder","Bladder.bladder cell","sce","3",1.117,0.0619999999999834
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","3",0.863,0.108000000000004
"TM, FACS","Bladder","Bladder.bladder cell","seurat","3",1.251,0.269000000000005
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","3",1.70400000000001,0.269000000000005
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","3",0.103999999999985,0.45999999999998
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","3",0.0660000000000025,0.174000000000007
"TM, FACS","Bladder","Bladder.bladder cell","scfind","4",0.853000000000009,0.0190000000000055
"TM, FACS","Bladder","Bladder.bladder cell","sce","4",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","4",0.863,0.085000000000008
"TM, FACS","Bladder","Bladder.bladder cell","seurat","4",1.251,0.34899999999999
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","4",1.70400000000001,0.348000000000013
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","4",0.103999999999985,0.0879999999999654
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","4",0.0660000000000025,0.0719999999999459
"TM, FACS","Bladder","Bladder.bladder cell","scfind","5",0.853000000000009,0.0199999999999818
"TM, FACS","Bladder","Bladder.bladder cell","sce","5",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","5",0.863,0.0850000000000364
"TM, FACS","Bladder","Bladder.bladder cell","seurat","5",1.251,0.435999999999979
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","5",1.70400000000001,0.446000000000026
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","5",0.103999999999985,0.113
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","5",0.0660000000000025,0.0749999999999886
"TM, FACS","Bladder","Bladder.bladder cell","scfind","6",0.853000000000009,0.0169999999999959
"TM, FACS","Bladder","Bladder.bladder cell","sce","6",1.117,0.0580000000000496
"TM, FACS","Bladder","Bladder.bladder cell","sce-sparseMatrix","6",0.863,0.0849999999999795
"TM, FACS","Bladder","Bladder.bladder cell","seurat","6",1.251,0.514999999999986
"TM, FACS","Bladder","Bladder.bladder cell","seurat-sparseMatrix","6",1.70400000000001,0.511000000000024
"TM, FACS","Bladder","Bladder.bladder cell","loom-1000","6",0.103999999999985,0.153999999999996
"TM, FACS","Bladder","Bladder.bladder cell","loom-5000","6",0.0660000000000025,0.0950000000000273
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","1",0.853000000000009,0.0219999999999914
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","1",1.117,0.0720000000000027
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","1",0.863,0.12299999999999
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","1",1.251,0.0459999999999923
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","1",1.70400000000001,0.0460000000000491
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","1",0.103999999999985,0.0729999999999791
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","1",0.0660000000000025,0.0729999999999791
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","2",0.853000000000009,0.0269999999999868
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","2",1.117,0.0690000000000168
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","2",0.863,0.115000000000009
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","2",1.251,0.194999999999993
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","2",1.70400000000001,0.199000000000012
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","2",0.103999999999985,0.0749999999999886
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","2",0.0660000000000025,0.0749999999999886
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","3",0.853000000000009,0.0219999999999914
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","3",1.117,0.061999999999955
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","3",0.863,0.103000000000009
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","3",1.251,0.271000000000015
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","3",1.70400000000001,0.274000000000001
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","3",0.103999999999985,0.0780000000000314
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","3",0.0660000000000025,0.558999999999969
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","4",0.853000000000009,0.0260000000000105
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","4",1.117,0.0699999999999932
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","4",0.863,0.0919999999999845
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","4",1.251,0.355999999999995
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","4",1.70400000000001,0.365999999999985
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","4",0.103999999999985,0.574999999999989
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","4",0.0660000000000025,0.0769999999999982
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","5",0.853000000000009,0.0219999999999914
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","5",1.117,0.0589999999999691
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","5",0.863,0.0859999999999559
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","5",1.251,0.456000000000017
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","5",1.70400000000001,0.947000000000003
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","5",0.103999999999985,0.0799999999999841
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","5",0.0660000000000025,0.0799999999999841
"TM, FACS","Bladder","Bladder.mesenchymal cell","scfind","6",0.853000000000009,0.021000000000015
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce","6",1.117,0.0579999999999927
"TM, FACS","Bladder","Bladder.mesenchymal cell","sce-sparseMatrix","6",0.863,0.0849999999999795
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat","6",1.251,0.54000000000002
"TM, FACS","Bladder","Bladder.mesenchymal cell","seurat-sparseMatrix","6",1.70400000000001,0.52600000000001
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-1000","6",0.103999999999985,0.0789999999999509
"TM, FACS","Bladder","Bladder.mesenchymal cell","loom-5000","6",0.0660000000000025,0.0779999999999745
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","1",0.841999999999985,0.0200000000000387
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","1",1.77600000000001,0.230000000000018
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","1",1.29399999999998,0.293999999999983
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","1",1.37200000000001,0.0579999999999927
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","1",1.83100000000002,0.0579999999999927
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","1",0.163999999999987,0.675000000000011
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","1",0.189000000000021,0.598000000000013
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","2",0.841999999999985,0.0229999999999677
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","2",1.77600000000001,0.293999999999983
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","2",1.29399999999998,0.295999999999992
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","2",1.37200000000001,0.245000000000005
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","2",1.83100000000002,0.240999999999985
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","2",0.163999999999987,0.386000000000024
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","2",0.189000000000021,0.355000000000018
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","3",0.841999999999985,0.0229999999999677
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","3",1.77600000000001,0.309000000000026
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","3",1.29399999999998,0.26600000000002
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","3",1.37200000000001,0.338000000000022
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat-sparseMatrix","3",1.83100000000002,0.336999999999989
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-1000","3",0.163999999999987,0.434999999999945
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","loom-5000","3",0.189000000000021,0.24899999999991
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","scfind","4",0.841999999999985,0.0210000000000719
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce","4",1.77600000000001,0.331999999999994
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","sce-sparseMatrix","4",1.29399999999998,0.285999999999945
"TM, FACS","BrainMicroglia","BrainMicroglia.macrophage","seurat","4",1.37200000000001,0.476999999999975
