"scfind","CellMarker","Tissue"
0.707224309444427,0.00161059421952814,"Heart"
0.695652186870575,0.0051652891561389,"Heart"
0.677631556987762,0.00901713222265244,"Heart"
0.677551090717316,0.0126063954085112,"Heart"
0.658385097980499,0.0158033352345228,"Heart"
0.637873709201813,0.0773809477686882,"Heart"
0.635379076004028,0.0962230265140533,"Heart"
0.62184876203537,0.16837041079998,"Heart"
0.609756112098694,0.205317571759224,"Heart"
0.606896579265594,0.236003428697586,"Heart"
0.598187327384949,0.259433954954147,"Heart"
0.582716047763824,0.269925624132156,"Heart"
0.576623380184174,0.314835786819458,"Heart"
0.5716952085495,0.171318128705025,"Heart"
0.50539618730545,0.220301553606987,"Heart"
0.479881882667542,0.241330921649933,"Heart"
0.467794865369797,0.276834905147552,"Heart"
0.417368769645691,0.281219512224197,"Heart"
0.410989820957184,0.348243296146393,"Heart"
0.406266033649445,0.350762188434601,"Heart"
0.40623939037323,0.363993555307388,"Heart"
0.406149715185165,0.40623939037323,"Heart"
0.596211373806,0.0452006794512272,"Heart"
0.550198912620544,0.108050622045994,"Heart"
0.546163856983185,0.126169517636299,"Heart"
0.498753100633621,0.128518655896187,"Heart"
0.457275927066803,0.154877305030823,"Heart"
0.449340581893921,0.260813593864441,"Heart"
0.447232097387314,0.261275053024292,"Heart"
0.420865118503571,0.275702208280563,"Heart"
0.420579165220261,0.285131812095642,"Heart"
0.412462085485458,0.287673711776733,"Heart"
0.0810810849070549,0.000428770494181663,"Kidney"
0.070422537624836,0.000687049119733274,"Kidney"
0.0689655169844627,0.000797554152086377,"Kidney"
0.0434782616794109,0.000842341629322618,"Kidney"
0.0416666679084301,0.000947957101743668,"Kidney"
0.0408163256943226,0.00109529029577971,"Kidney"
0.0384615398943424,0.00112384802196175,"Kidney"
0.0384615398943424,0.00112525490112603,"Kidney"
0.0380228161811829,0.00114955741446465,"Kidney"
0.0377358496189117,0.001283147954382,"Kidney"
0.036363635212183,0.00129366107285023,"Kidney"
0.0344827584922314,0.00131252047140151,"Kidney"
0.0338983051478863,0.00134518044069409,"Kidney"
0.0338983051478863,0.00136170210316777,"Kidney"
0.0333333350718021,0.00137622572947294,"Kidney"
0.0327868834137917,0.00139606313314289,"Kidney"
