	Atlas	cellType	gene
134	TM, 10X	Lung.Clara cell	419
135	TM, 10X	Lung.dendritic cell	155
136	TM, 10X	Lung.endothelial cell	107
137	TM, 10X	Lung.leukocyte	59
138	TM, 10X	Lung.macrophage	152
139	TM, 10X	Lung.mast cell	146
140	TM, 10X	Lung.mesothelial cell	358
141	TM, 10X	Lung.monocyte	281
142	TM, 10X	Lung.natural killer cell	114
143	TM, 10X	Lung.stromal cell	73
144	TM, 10X	Lung.T cell	125
145	TM, 10X	Lung.type II pneumocyte	90
146	TM, 10X	Lung.unknown	88
147	TM, 10X	Mammary.B cell	122
148	TM, 10X	Mammary.basal cell	305
149	TM, 10X	Mammary.endothelial cell	180
150	TM, 10X	Mammary.luminal cell of lactiferous duct	270
151	TM, 10X	Mammary.macrophage	162
152	TM, 10X	Mammary.stromal cell	151
153	TM, 10X	Mammary.T cell	121
154	TM, 10X	Marrow.B cell	179
155	TM, 10X	Marrow.erythrocyte	60
156	TM, 10X	Marrow.Fraction A pre-pro B cell	202
157	TM, 10X	Marrow.granulocyte	117
158	TM, 10X	Marrow.hematopoietic stem cell	131
159	TM, 10X	Marrow.macrophage	228
160	TM, 10X	Marrow.monocyte	277
161	TM, 10X	Marrow.T cell	158
162	TM, 10X	Muscle.B cell	107
163	TM, 10X	Muscle.chondroblast	172
164	TM, 10X	Muscle.endothelial cell	51
165	TM, 10X	Muscle.macrophage	119
166	TM, 10X	Muscle.mesenchymal stem cell	152
167	TM, 10X	Muscle.skeletal muscle satellite cell	130
168	TM, 10X	Muscle.T cell	114
169	TM, 10X	Muscle.unknown	22
170	TM, 10X	Spleen.B cell	117
171	TM, 10X	Spleen.dendritic cell	129
172	TM, 10X	Spleen.macrophage	97
173	TM, 10X	Spleen.T cell	115
174	TM, 10X	Thymus.stromal cell	161
175	TM, 10X	Thymus.T cell	142
176	TM, 10X	Tongue.basal cell of epidermis	347
177	TM, 10X	Tongue.keratinocyte	454
178	TM, 10X	Tongue.unknown	264
179	TM, 10X	Trachea.basal cell of epithelium of trachea	113
180	TM, 10X	Trachea.ciliated epithelial cell	54
181	TM, 10X	Trachea.endothelial cell	71
182	TM, 10X	Trachea.epithelial cell	82
183	TM, 10X	Trachea.leukocyte	107
184	TM, 10X	Trachea.neuroendocrine cell	61
185	TM, 10X	Trachea.stromal cell	92
186	MCA	Bladder.Basal epithelial cell	102
187	MCA	Bladder.Dendritic cell_Cd74 high	36
188	MCA	Bladder.Dendritic cell_Lyz2 high	40
189	MCA	Bladder.Endothelial cell_Ly6c1 high	23
190	MCA	Bladder.Epithelial cell_Gm23935 high	17
191	MCA	Bladder.Epithelial cell_Upk3a high	23
192	MCA	Bladder.Macrophage_Pf4 high	23
193	MCA	Bladder.Mesenchymal stromal cell	22
194	MCA	Bladder.NK cell	25
195	MCA	Bladder.Smooth muscle cell	22
196	MCA	Bladder.Stromal cell_Car3 high	34
197	MCA	Bladder.Stromal cell_Dpt high	38
198	MCA	Bladder.Umbrella cell	448
199	MCA	Bladder.Urothelium	84
200	MCA	Bladder.Vascular endothelial cell	35
201	MCA	Bladder.Vascular smooth muscle progenitor cell	19
202	MCA	BoneMarrow.B cell	14
203	MCA	BoneMarrow.B cell_Igkc high	13
204	MCA	BoneMarrow.Basophil	17
205	MCA	BoneMarrow.Dendritic cell_H2-Eb1 high	55
206	MCA	BoneMarrow.Dendritic cell_Siglech high	17
207	MCA	BoneMarrow.Eosinophil progenitor cell	16
208	MCA	BoneMarrow.Erythroblast	11
209	MCA	BoneMarrow.Erythrocyte progenitor_Car1 high	62
210	MCA	BoneMarrow.Erythrocyte progenitor_Hba-a1 high	63
211	MCA	BoneMarrow.Hematopoietic stem progenitor cell	7
212	MCA	BoneMarrow.Macrophage_C1qc high	8
213	MCA	BoneMarrow.Macrophage_Cd74 high	11
214	MCA	BoneMarrow.Macrophage_Ms4a6c high	37
215	MCA	BoneMarrow.Macrophage_S100a4 high	5
216	MCA	BoneMarrow.Mast cell	61
217	MCA	BoneMarrow.Megakaryocyte progenitor cell	40
218	MCA	BoneMarrow.Monocyte progenitor	62
