"type","no_of_genes","score","query"
"precision","1",0.111111111111111,"AND query"
"recall","1",0.5,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.5,"AND query"
"precision","1",0.140845070422535,"AND query"
"recall","1",0.579710144927536,"AND query"
"precision, tissue","1",0.740740740740741,"AND query"
"recall, tissue","1",0.579710144927536,"AND query"
"precision","2",0.409090909090909,"AND query"
"recall","2",0.130434782608696,"AND query"
"precision, tissue","2",0.9,"AND query"
"recall, tissue","2",0.130434782608696,"AND query"
"precision","3",0.466666666666667,"AND query"
"recall","3",0.101449275362319,"AND query"
"precision, tissue","3",0.875,"AND query"
"recall, tissue","3",0.101449275362319,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0289855072463768,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0289855072463768,"AND query"
"precision","1",0.0625,"AND query"
"recall","1",0.5,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.5,"AND query"
"precision","1",0.0710955710955711,"AND query"
"recall","1",0.938461538461538,"AND query"
"precision, tissue","1",0.426573426573427,"AND query"
"recall, tissue","1",0.938461538461538,"AND query"
"precision","2",0.0916955017301038,"AND query"
"recall","2",0.815384615384615,"AND query"
"precision, tissue","2",0.495327102803738,"AND query"
"recall, tissue","2",0.815384615384615,"AND query"
"precision","3",0.0998116760828625,"AND query"
"recall","3",0.815384615384615,"AND query"
"precision, tissue","3",0.540816326530612,"AND query"
"recall, tissue","3",0.815384615384615,"AND query"
"precision","4",0.154385964912281,"AND query"
"recall","4",0.676923076923077,"AND query"
"precision, tissue","4",0.698412698412698,"AND query"
"recall, tissue","4",0.676923076923077,"AND query"
"precision","5",0.144654088050314,"AND query"
"recall","5",0.353846153846154,"AND query"
"precision, tissue","5",0.696969696969697,"AND query"
"recall, tissue","5",0.353846153846154,"AND query"
"precision","1",0.145454545454545,"AND query"
"recall","1",0.444444444444444,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.444444444444444,"AND query"
"precision","2",0.16,"AND query"
"recall","2",0.333333333333333,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.333333333333333,"AND query"
"precision","3",0.133333333333333,"AND query"
"recall","3",0.166666666666667,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.166666666666667,"AND query"
"precision","4",0.133333333333333,"AND query"
"recall","4",0.166666666666667,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.166666666666667,"AND query"
"precision","5",0.119047619047619,"AND query"
"recall","5",0.138888888888889,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.138888888888889,"AND query"
"precision","1",0.266106442577031,"AND query"
"recall","1",0.519125683060109,"AND query"
"precision, tissue","1",0.926829268292683,"AND query"
"recall, tissue","1",0.519125683060109,"AND query"
"precision","2",0.932584269662921,"AND query"
"recall","2",0.226775956284153,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.226775956284153,"AND query"
"precision","3",0.98,"AND query"
"recall","3",0.133879781420765,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.133879781420765,"AND query"
"precision","4",1,"AND query"
"recall","4",0.120218579234973,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.120218579234973,"AND query"
"precision","5",1,"AND query"
"recall","5",0.103825136612022,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.103825136612022,"AND query"
"precision","1",0.0398230088495575,"AND query"
"recall","1",0.327272727272727,"AND query"
"precision, tissue","1",0.666666666666667,"AND query"
"recall, tissue","1",0.327272727272727,"AND query"
"precision","2",0.155555555555556,"AND query"
"recall","2",0.127272727272727,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.127272727272727,"AND query"
"precision","3",1,"AND query"
"recall","3",0.0181818181818182,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0181818181818182,"AND query"
"precision","1",0.111111111111111,"AND query"
"recall","1",0.5,"AND query"
"precision, tissue","1",1,"AND query"
"recall, tissue","1",0.5,"AND query"
"precision","2",1,"AND query"
"recall","2",0.5,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.5,"AND query"
"precision","3",1,"AND query"
"recall","3",0.5,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.5,"AND query"
"precision","4",1,"AND query"
"recall","4",0.5,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.5,"AND query"
"precision","5",1,"AND query"
"recall","5",0.5,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.5,"AND query"
"precision","1",0.596153846153846,"AND query"
"recall","1",0.98936170212766,"AND query"
"precision, tissue","1",0.869158878504673,"AND query"
"recall, tissue","1",0.98936170212766,"AND query"
"precision","2",0.892156862745098,"AND query"
"recall","2",0.968085106382979,"AND query"
"precision, tissue","2",0.919191919191919,"AND query"
"recall, tissue","2",0.968085106382979,"AND query"
"precision","3",0.931818181818182,"AND query"
"recall","3",0.872340425531915,"AND query"
"precision, tissue","3",0.953488372093023,"AND query"
"recall, tissue","3",0.872340425531915,"AND query"
"precision","4",0.925373134328358,"AND query"
"recall","4",0.659574468085106,"AND query"
"precision, tissue","4",0.953846153846154,"AND query"
"recall, tissue","4",0.659574468085106,"AND query"
"precision","5",0.964285714285714,"AND query"
"recall","5",0.287234042553192,"AND query"
"precision, tissue","5",0.964285714285714,"AND query"
"recall, tissue","5",0.287234042553192,"AND query"
"precision","1",0.549215406562054,"AND query"
"recall","1",0.905882352941176,"AND query"
"precision, tissue","1",0.940553745928339,"AND query"
"recall, tissue","1",0.905882352941176,"AND query"
"precision","2",0.972571428571429,"AND query"
"recall","2",0.667450980392157,"AND query"
"precision, tissue","2",0.991841491841492,"AND query"
"recall, tissue","2",0.667450980392157,"AND query"
"precision","3",0.995565410199557,"AND query"
"recall","3",0.352156862745098,"AND query"
"precision, tissue","3",0.995565410199557,"AND query"
"recall, tissue","3",0.352156862745098,"AND query"
"precision","4",0.995337995337995,"AND query"
"recall","4",0.334901960784314,"AND query"
"precision, tissue","4",0.995337995337995,"AND query"
"recall, tissue","4",0.334901960784314,"AND query"
"precision","5",0.994805194805195,"AND query"
"recall","5",0.300392156862745,"AND query"
"precision, tissue","5",0.994805194805195,"AND query"
"recall, tissue","5",0.300392156862745,"AND query"
"precision","1",0.0416666666666667,"AND query"
"recall","1",0.142857142857143,"AND query"
"precision, tissue","1",0.5,"AND query"
"recall, tissue","1",0.142857142857143,"AND query"
"precision","1",0.526685393258427,"AND query"
"recall","1",0.679347826086957,"AND query"
"precision, tissue","1",0.827814569536424,"AND query"
"recall, tissue","1",0.679347826086957,"AND query"
"precision","2",0.955102040816327,"AND query"
"recall","2",0.423913043478261,"AND query"
"precision, tissue","2",0.97907949790795,"AND query"
"recall, tissue","2",0.423913043478261,"AND query"
"precision","3",0.971830985915493,"AND query"
"recall","3",0.375,"AND query"
"precision, tissue","3",0.976415094339623,"AND query"
"recall, tissue","3",0.375,"AND query"
"precision","4",0.963503649635037,"AND query"
"recall","4",0.239130434782609,"AND query"
"precision, tissue","4",0.970588235294118,"AND query"
"recall, tissue","4",0.239130434782609,"AND query"
"precision","5",0.983050847457627,"AND query"
"recall","5",0.105072463768116,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.105072463768116,"AND query"
"precision","1",0.18974358974359,"AND query"
"recall","1",0.345794392523364,"AND query"
"precision, tissue","1",0.954838709677419,"AND query"
"recall, tissue","1",0.345794392523364,"AND query"
"precision","2",0.25625,"AND query"
"recall","2",0.0957943925233645,"AND query"
"precision, tissue","2",0.976190476190476,"AND query"
"recall, tissue","2",0.0957943925233645,"AND query"
"precision","3",0.444444444444444,"AND query"
"recall","3",0.00934579439252336,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.00934579439252336,"AND query"
"precision","4",0.166666666666667,"AND query"
"recall","4",0.00233644859813084,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.00233644859813084,"AND query"
"precision","5",0.2,"AND query"
"recall","5",0.00233644859813084,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.00233644859813084,"AND query"
"precision","1",0.492796332678454,"AND query"
"recall","1",0.814393939393939,"AND query"
"precision, tissue","1",0.940037476577139,"AND query"
"recall, tissue","1",0.814393939393939,"AND query"
"precision","2",0.66373840897999,"AND query"
"recall","2",0.735930735930736,"AND query"
"precision, tissue","2",0.972122944960686,"AND query"
"recall, tissue","2",0.735930735930736,"AND query"
"precision","3",0.725478816018572,"AND query"
"recall","3",0.676406926406926,"AND query"
"precision, tissue","3",0.975039001560062,"AND query"
"recall, tissue","3",0.676406926406926,"AND query"
"precision","4",0.772327964860908,"AND query"
"recall","4",0.570887445887446,"AND query"
"precision, tissue","4",0.978664192949907,"AND query"
"recall, tissue","4",0.570887445887446,"AND query"
"precision","5",0.901330376940133,"AND query"
"recall","5",0.439935064935065,"AND query"
"precision, tissue","5",0.985454545454545,"AND query"
"recall, tissue","5",0.439935064935065,"AND query"
"precision","1",0.48,"AND query"
"recall","1",0.88135593220339,"AND query"
"precision, tissue","1",0.808290155440414,"AND query"
"recall, tissue","1",0.88135593220339,"AND query"
"precision","2",0.855855855855856,"AND query"
"recall","2",0.536723163841808,"AND query"
"precision, tissue","2",0.979381443298969,"AND query"
"recall, tissue","2",0.536723163841808,"AND query"
"precision","3",0.859375,"AND query"
"recall","3",0.310734463276836,"AND query"
"precision, tissue","3",0.982142857142857,"AND query"
"recall, tissue","3",0.310734463276836,"AND query"
"precision","4",0.8125,"AND query"
"recall","4",0.146892655367232,"AND query"
"precision, tissue","4",0.962962962962963,"AND query"
"recall, tissue","4",0.146892655367232,"AND query"
"precision","5",0.785714285714286,"AND query"
"recall","5",0.124293785310734,"AND query"
"precision, tissue","5",0.956521739130435,"AND query"
"recall, tissue","5",0.124293785310734,"AND query"
"precision","1",0.46943231441048,"AND query"
"recall","1",0.565789473684211,"AND query"
"precision, tissue","1",0.784671532846715,"AND query"
"recall, tissue","1",0.565789473684211,"AND query"
"precision","2",0.647272727272727,"AND query"
"recall","2",0.468421052631579,"AND query"
"precision, tissue","2",0.855769230769231,"AND query"
"recall, tissue","2",0.468421052631579,"AND query"
"precision","3",0.704761904761905,"AND query"
"recall","3",0.389473684210526,"AND query"
"precision, tissue","3",0.925,"AND query"
"recall, tissue","3",0.389473684210526,"AND query"
"precision","4",0.85,"AND query"
"recall","4",0.178947368421053,"AND query"
"precision, tissue","4",0.971428571428571,"AND query"
"recall, tissue","4",0.178947368421053,"AND query"
"precision","5",0.848101265822785,"AND query"
"recall","5",0.176315789473684,"AND query"
"precision, tissue","5",0.971014492753623,"AND query"
"recall, tissue","5",0.176315789473684,"AND query"
"precision","1",0.773131672597865,"AND query"
"recall","1",0.673121611154144,"AND query"
"precision, tissue","1",0.974215246636771,"AND query"
"recall, tissue","1",0.673121611154144,"AND query"
"precision","2",0.972322503008424,"AND query"
"recall","2",0.625871417505809,"AND query"
"precision, tissue","2",0.996300863131936,"AND query"
"recall, tissue","2",0.625871417505809,"AND query"
"precision","3",0.98876404494382,"AND query"
"recall","3",0.408985282726569,"AND query"
"precision, tissue","3",0.998109640831758,"AND query"
"recall, tissue","3",0.408985282726569,"AND query"
"precision","4",0.997448979591837,"AND query"
"recall","4",0.30286599535244,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.30286599535244,"AND query"
"precision","5",0.997134670487106,"AND query"
"recall","5",0.269558481797057,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.269558481797057,"AND query"
"precision","1",0.201178451178451,"AND query"
"recall","1",0.737654320987654,"AND query"
"precision, tissue","1",0.343884892086331,"AND query"
"recall, tissue","1",0.737654320987654,"AND query"
"precision","2",0.616279069767442,"AND query"
"recall","2",0.327160493827161,"AND query"
"precision, tissue","2",0.981481481481482,"AND query"
"recall, tissue","2",0.327160493827161,"AND query"
"precision","3",0.7625,"AND query"
"recall","3",0.188271604938272,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.188271604938272,"AND query"
"precision","4",0.8,"AND query"
"recall","4",0.160493827160494,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.160493827160494,"AND query"
"precision","5",0.869565217391304,"AND query"
"recall","5",0.123456790123457,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.123456790123457,"AND query"
"precision","1",0.233766233766234,"AND query"
"recall","1",0.794117647058823,"AND query"
"precision, tissue","1",0.590163934426229,"AND query"
"recall, tissue","1",0.794117647058823,"AND query"
"precision","2",0.456140350877193,"AND query"
"recall","2",0.382352941176471,"AND query"
"precision, tissue","2",0.8,"AND query"
"recall, tissue","2",0.382352941176471,"AND query"
"precision","3",0.485981308411215,"AND query"
"recall","3",0.382352941176471,"AND query"
"precision, tissue","3",0.8125,"AND query"
"recall, tissue","3",0.382352941176471,"AND query"
"precision","4",0.529411764705882,"AND query"
"recall","4",0.264705882352941,"AND query"
"precision, tissue","4",0.857142857142857,"AND query"
"recall, tissue","4",0.264705882352941,"AND query"
"precision","5",0.45,"AND query"
"recall","5",0.0661764705882353,"AND query"
"precision, tissue","5",0.818181818181818,"AND query"
"recall, tissue","5",0.0661764705882353,"AND query"
"precision","1",0.593886462882096,"AND query"
"recall","1",0.908180300500835,"AND query"
"precision, tissue","1",0.762973352033661,"AND query"
"recall, tissue","1",0.908180300500835,"AND query"
"precision","2",0.895833333333333,"AND query"
"recall","2",0.789649415692821,"AND query"
"precision, tissue","2",0.906130268199234,"AND query"
"recall, tissue","2",0.789649415692821,"AND query"
"precision","3",0.909090909090909,"AND query"
"recall","3",0.601001669449082,"AND query"
"precision, tissue","3",0.916030534351145,"AND query"
"recall, tissue","3",0.601001669449082,"AND query"
"precision","4",0.908616187989556,"AND query"
"recall","4",0.580968280467446,"AND query"
"precision, tissue","4",0.91578947368421,"AND query"
"recall, tissue","4",0.580968280467446,"AND query"
"precision","5",0.977859778597786,"AND query"
"recall","5",0.442404006677796,"AND query"
"precision, tissue","5",0.985130111524164,"AND query"
"recall, tissue","5",0.442404006677796,"AND query"
"precision","1",0.125541125541126,"AND query"
"recall","1",0.408450704225352,"AND query"
"precision, tissue","1",0.316939890710383,"AND query"
"recall, tissue","1",0.408450704225352,"AND query"
"precision","2",0.185185185185185,"AND query"
"recall","2",0.316901408450704,"AND query"
"precision, tissue","2",0.340909090909091,"AND query"
"recall, tissue","2",0.316901408450704,"AND query"
"precision","3",0.217741935483871,"AND query"
"recall","3",0.190140845070423,"AND query"
"precision, tissue","3",0.375,"AND query"
"recall, tissue","3",0.190140845070423,"AND query"
"precision","4",0.253164556962025,"AND query"
"recall","4",0.140845070422535,"AND query"
"precision, tissue","4",0.4,"AND query"
"recall, tissue","4",0.140845070422535,"AND query"
"precision","5",1,"AND query"
"recall","5",0.00704225352112676,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.00704225352112676,"AND query"
"precision","1",0.0569832402234637,"AND query"
"recall","1",0.337748344370861,"AND query"
"precision, tissue","1",0.879310344827586,"AND query"
"recall, tissue","1",0.337748344370861,"AND query"
"precision","2",0.12,"AND query"
"recall","2",0.0596026490066225,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0596026490066225,"AND query"
"precision","3",0.222222222222222,"AND query"
"recall","3",0.0397350993377483,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0397350993377483,"AND query"
"precision","4",0.125,"AND query"
"recall","4",0.00662251655629139,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.00662251655629139,"AND query"
"precision","1",0.071391884951207,"AND query"
"recall","1",0.674757281553398,"AND query"
"precision, tissue","1",0.812865497076023,"AND query"
"recall, tissue","1",0.674757281553398,"AND query"
"precision","2",0.122112211221122,"AND query"
"recall","2",0.359223300970874,"AND query"
"precision, tissue","2",0.973684210526316,"AND query"
"recall, tissue","2",0.359223300970874,"AND query"
"precision","3",0.2,"AND query"
"recall","3",0.12621359223301,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.12621359223301,"AND query"
"precision","4",0.255813953488372,"AND query"
"recall","4",0.106796116504854,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.106796116504854,"AND query"
"precision","5",0.425531914893617,"AND query"
"recall","5",0.0970873786407767,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0970873786407767,"AND query"
"precision","1",0.0601851851851852,"AND query"
"recall","1",0.183098591549296,"AND query"
"precision, tissue","1",0.175675675675676,"AND query"
"recall, tissue","1",0.183098591549296,"AND query"
"precision","2",0.125,"AND query"
"recall","2",0.0140845070422535,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0140845070422535,"AND query"
"precision","3",0,"AND query"
"recall","3",0,"AND query"
"precision, tissue","3",NA,"AND query"
"recall, tissue","3",0,"AND query"
"precision","1",0.142597308112041,"AND query"
"recall","1",0.806584362139918,"AND query"
"precision, tissue","1",0.837606837606838,"AND query"
"recall, tissue","1",0.806584362139918,"AND query"
"precision","2",0.413153456998314,"AND query"
"recall","2",0.504115226337449,"AND query"
"precision, tissue","2",0.97609561752988,"AND query"
"recall, tissue","2",0.504115226337449,"AND query"
"precision","3",0.575268817204301,"AND query"
"recall","3",0.440329218106996,"AND query"
"precision, tissue","3",0.981651376146789,"AND query"
"recall, tissue","3",0.440329218106996,"AND query"
"precision","4",0.643884892086331,"AND query"
"recall","4",0.368312757201646,"AND query"
"precision, tissue","4",0.983516483516483,"AND query"
"recall, tissue","4",0.368312757201646,"AND query"
"precision","5",0.655555555555556,"AND query"
"recall","5",0.242798353909465,"AND query"
"precision, tissue","5",0.983333333333333,"AND query"
"recall, tissue","5",0.242798353909465,"AND query"
"precision","1",0.468085106382979,"AND query"
"recall","1",0.644688644688645,"AND query"
"precision, tissue","1",0.55,"AND query"
"recall, tissue","1",0.644688644688645,"AND query"
"precision","2",0.577830188679245,"AND query"
"recall","2",0.448717948717949,"AND query"
"precision, tissue","2",0.587529976019185,"AND query"
"recall, tissue","2",0.448717948717949,"AND query"
"precision","3",0.733333333333333,"AND query"
"recall","3",0.241758241758242,"AND query"
"precision, tissue","3",0.745762711864407,"AND query"
"recall, tissue","3",0.241758241758242,"AND query"
"precision","4",0.75,"AND query"
"recall","4",0.197802197802198,"AND query"
"precision, tissue","4",0.765957446808511,"AND query"
"recall, tissue","4",0.197802197802198,"AND query"
"precision","5",0.75,"AND query"
"recall","5",0.115384615384615,"AND query"
"precision, tissue","5",0.768292682926829,"AND query"
"recall, tissue","5",0.115384615384615,"AND query"
"precision","1",0.373670212765957,"AND query"
"recall","1",0.635746606334842,"AND query"
"precision, tissue","1",0.4390625,"AND query"
"recall, tissue","1",0.635746606334842,"AND query"
"precision","2",0.446194225721785,"AND query"
"recall","2",0.384615384615385,"AND query"
"precision, tissue","2",0.456989247311828,"AND query"
"recall, tissue","2",0.384615384615385,"AND query"
"precision","3",0.410569105691057,"AND query"
"recall","3",0.228506787330317,"AND query"
"precision, tissue","3",0.419087136929461,"AND query"
"recall, tissue","3",0.228506787330317,"AND query"
"precision","4",0.51304347826087,"AND query"
"recall","4",0.133484162895928,"AND query"
"precision, tissue","4",0.531531531531532,"AND query"
"recall, tissue","4",0.133484162895928,"AND query"
"precision","5",0.495327102803738,"AND query"
"recall","5",0.119909502262443,"AND query"
"precision, tissue","5",0.514563106796116,"AND query"
"recall, tissue","5",0.119909502262443,"AND query"
"precision","1",0.0347222222222222,"AND query"
"recall","1",0.285714285714286,"AND query"
"precision, tissue","1",0.769230769230769,"AND query"
"recall, tissue","1",0.285714285714286,"AND query"
"precision","2",0.4,"AND query"
"recall","2",0.0571428571428571,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0571428571428571,"AND query"
"precision","3",0.5,"AND query"
"recall","3",0.0285714285714286,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0285714285714286,"AND query"
"precision","1",0.052924791086351,"AND query"
"recall","1",0.387755102040816,"AND query"
"precision, tissue","1",0.0603174603174603,"AND query"
"recall, tissue","1",0.387755102040816,"AND query"
"precision","2",0.714285714285714,"AND query"
"recall","2",0.102040816326531,"AND query"
"precision, tissue","2",0.833333333333333,"AND query"
"recall, tissue","2",0.102040816326531,"AND query"
"precision","3",1,"AND query"
"recall","3",0.0816326530612245,"AND query"
"precision, tissue","3",1,"AND query"
"recall, tissue","3",0.0816326530612245,"AND query"
"precision","4",1,"AND query"
"recall","4",0.0612244897959184,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.0612244897959184,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0612244897959184,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0612244897959184,"AND query"
"precision","1",0.0983606557377049,"AND query"
"recall","1",0.133333333333333,"AND query"
"precision, tissue","1",0.857142857142857,"AND query"
"recall, tissue","1",0.133333333333333,"AND query"
"precision","2",0.166666666666667,"AND query"
"recall","2",0.0222222222222222,"AND query"
"precision, tissue","2",1,"AND query"
"recall, tissue","2",0.0222222222222222,"AND query"
"precision","1",0.517525773195876,"AND query"
"recall","1",0.874564459930314,"AND query"
"precision, tissue","1",0.683923705722071,"AND query"
"recall, tissue","1",0.874564459930314,"AND query"
"precision","2",0.713310580204778,"AND query"
"recall","2",0.728222996515679,"AND query"
"precision, tissue","2",0.728222996515679,"AND query"
"recall, tissue","2",0.728222996515679,"AND query"
"precision","3",0.728155339805825,"AND query"
"recall","3",0.522648083623693,"AND query"
"precision, tissue","3",0.728155339805825,"AND query"
"recall, tissue","3",0.522648083623693,"AND query"
"precision","4",0.827956989247312,"AND query"
"recall","4",0.268292682926829,"AND query"
"precision, tissue","4",0.827956989247312,"AND query"
"recall, tissue","4",0.268292682926829,"AND query"
"precision","5",0.855555555555556,"AND query"
"recall","5",0.268292682926829,"AND query"
"precision, tissue","5",0.855555555555556,"AND query"
"recall, tissue","5",0.268292682926829,"AND query"
"precision","1",0.713513513513514,"AND query"
"recall","1",0.745762711864407,"AND query"
"precision, tissue","1",0.830188679245283,"AND query"
"recall, tissue","1",0.745762711864407,"AND query"
"precision","2",0.9453125,"AND query"
"recall","2",0.68361581920904,"AND query"
"precision, tissue","2",0.952755905511811,"AND query"
"recall, tissue","2",0.68361581920904,"AND query"
"precision","3",0.97,"AND query"
"recall","3",0.548022598870056,"AND query"
"precision, tissue","3",0.97,"AND query"
"recall, tissue","3",0.548022598870056,"AND query"
"precision","4",0.97,"AND query"
"recall","4",0.548022598870056,"AND query"
"precision, tissue","4",0.97,"AND query"
"recall, tissue","4",0.548022598870056,"AND query"
"precision","5",0.978494623655914,"AND query"
"recall","5",0.514124293785311,"AND query"
"precision, tissue","5",0.978494623655914,"AND query"
"recall, tissue","5",0.514124293785311,"AND query"
"precision","1",0.386904761904762,"AND query"
"recall","1",0.714285714285714,"AND query"
"precision, tissue","1",0.575221238938053,"AND query"
"recall, tissue","1",0.714285714285714,"AND query"
"precision","2",0.847826086956522,"AND query"
"recall","2",0.428571428571429,"AND query"
"precision, tissue","2",0.886363636363636,"AND query"
"recall, tissue","2",0.428571428571429,"AND query"
"precision","3",0.886363636363636,"AND query"
"recall","3",0.428571428571429,"AND query"
"precision, tissue","3",0.886363636363636,"AND query"
"recall, tissue","3",0.428571428571429,"AND query"
"precision","4",0.875,"AND query"
"recall","4",0.153846153846154,"AND query"
"precision, tissue","4",0.875,"AND query"
"recall, tissue","4",0.153846153846154,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0659340659340659,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0659340659340659,"AND query"
"precision","1",0.56,"AND query"
"recall","1",0.427480916030534,"AND query"
"precision, tissue","1",0.777777777777778,"AND query"
"recall, tissue","1",0.427480916030534,"AND query"
"precision","2",0.94,"AND query"
"recall","2",0.358778625954198,"AND query"
"precision, tissue","2",0.959183673469388,"AND query"
"recall, tissue","2",0.358778625954198,"AND query"
"precision","3",0.959183673469388,"AND query"
"recall","3",0.358778625954198,"AND query"
"precision, tissue","3",0.959183673469388,"AND query"
"recall, tissue","3",0.358778625954198,"AND query"
"precision","4",1,"AND query"
"recall","4",0.145038167938931,"AND query"
"precision, tissue","4",1,"AND query"
"recall, tissue","4",0.145038167938931,"AND query"
"precision","5",1,"AND query"
"recall","5",0.0534351145038168,"AND query"
"precision, tissue","5",1,"AND query"
"recall, tissue","5",0.0534351145038168,"AND query"
"precision","1",0.171428571428571,"AND query"
"recall","1",0.785046728971963,"AND query"
"precision, tissue","1",0.237960339943343,"AND query"
"recall, tissue","1",0.785046728971963,"AND query"
"precision","2",0.241935483870968,"AND query"
"recall","2",0.560747663551402,"AND query"
"precision, tissue","2",0.245901639344262,"AND query"
"recall, tissue","2",0.560747663551402,"AND query"
"precision","3",0.666666666666667,"AND query"
"recall","3",0.186915887850467,"AND query"
"precision, tissue","3",0.666666666666667,"AND query"
"recall, tissue","3",0.186915887850467,"AND query"
"precision","4",0.64,"AND query"
"recall","4",0.149532710280374,"AND query"
"precision, tissue","4",0.64,"AND query"
"recall, tissue","4",0.149532710280374,"AND query"
"precision","5",0.461538461538462,"AND query"
"recall","5",0.0560747663551402,"AND query"
"precision, tissue","5",0.461538461538462,"AND query"
"recall, tissue","5",0.0560747663551402,"AND query"
"precision","1",0.0537634408602151,"AND query"
"recall","1",0.172413793103448,"AND query"
"precision, tissue","1",0.625,"AND query"
"recall, tissue","1",0.172413793103448,"AND query"
"precision","2",0.5,"AND query"
"recall","2",0.172413793103448,"AND query"
"precision, tissue","2",0.714285714285714,"AND query"
"recall, tissue","2",0.172413793103448,"AND query"
"precision","1",0.810126582278481,"AND query"
"recall","1",0.934306569343066,"AND query"
"precision, tissue","1",0.962406015037594,"AND query"
"recall, tissue","1",0.934306569343066,"AND query"
"precision","2",0.962864721485411,"AND query"
"recall","2",0.883211678832117,"AND query"
"precision, tissue","2",0.983739837398374,"AND query"
"recall, tissue","2",0.883211678832117,"AND query"
"precision","3",0.969444444444444,"AND query"
"recall","3",0.849148418491484,"AND query"
"precision, tissue","3",0.983098591549296,"AND query"
"recall, tissue","3",0.849148418491484,"AND query"
"precision","4",0.981927710843373,"AND query"
"recall","4",0.793187347931874,"AND query"
"precision, tissue","4",0.987878787878788,"AND query"
"recall, tissue","4",0.793187347931874,"AND query"
"precision","5",0.9875,"AND query"
"recall","5",0.768856447688564,"AND query"
"precision, tissue","5",0.9875,"AND query"
"recall, tissue","5",0.768856447688564,"AND query"
"precision","1",0.39477503628447,"AND query"
"recall","1",0.676616915422886,"AND query"
"precision, tissue","1",0.572631578947368,"AND query"
"recall, tissue","1",0.676616915422886,"AND query"
"precision","2",0.530434782608696,"AND query"
"recall","2",0.455223880597015,"AND query"
"precision, tissue","2",0.539823008849557,"AND query"
"recall, tissue","2",0.455223880597015,"AND query"
"precision","3",0.588235294117647,"AND query"
"recall","3",0.248756218905473,"AND query"
"precision, tissue","3",0.591715976331361,"AND query"
"recall, tissue","3",0.248756218905473,"AND query"
"precision","4",0.593220338983051,"AND query"
"recall","4",0.174129353233831,"AND query"
"precision, tissue","4",0.593220338983051,"AND query"
"recall, tissue","4",0.174129353233831,"AND query"
"precision","5",0.657142857142857,"AND query"
"recall","5",0.114427860696517,"AND query"
"precision, tissue","5",0.657142857142857,"AND query"
"recall, tissue","5",0.114427860696517,"AND query"
"precision","1",0.437861271676301,"AND query"
"recall","1",0.680898876404494,"AND query"
"precision, tissue","1",0.509243697478992,"AND query"
"recall, tissue","1",0.680898876404494,"AND query"
"precision","2",0.741379310344828,"AND query"
