"gene_number","atlas","x","se"
44,"TM,
FACS",10.1323599999992,3.88206498288523
45,"TM,
FACS",21.3498999999996,25.6385855389897
46,"TM,
FACS",7.39615384615564,1.61455356932369
47,"TM,
FACS",12.9116428571391,2.8635598158033
48,"TM,
FACS",9.11253846153984,2.36455184348329
49,"TM,
FACS",10.9052222222251,3.90587255794182
50,"TM,
FACS",14.2108000000007,2.39398710105524
51,"TM,
FACS",12.751470588235,3.0614561817758
52,"TM,
FACS",13.1134705882372,3.70552508127157
53,"TM,
FACS",15.3926315789454,3.0599783739632
54,"TM,
FACS",16.1473333333318,4.18140374138713
55,"TM,
FACS",14.2649000000063,1.59216783663166
56,"TM,
FACS",18.6658571428561,4.33715618582198
57,"TM,
FACS",19.1659999999974,3.78917471225756
58,"TM,
FACS",17.1813750000001,5.31121783149208
59,"TM,
FACS",15.8401333333304,3.71897014879324
4,"MOCA",0.771255530973254,0.352793489258529
5,"MOCA",0.883244992294308,0.380147425125536
6,"MOCA",1.11722672064719,0.485443827626471
7,"MOCA",1.32163080684651,0.529062516808974
8,"MOCA",1.63419746835385,0.574755416795332
9,"MOCA",1.87543103448124,0.686400997452386
10,"MOCA",2.16636482084679,0.751571570498508
11,"MOCA",2.41900769230717,0.785546072262431
12,"MOCA",2.6222845849801,0.845308814384159
13,"MOCA",3.03336597937948,0.971420562815243
14,"MOCA",3.09035359116018,1.04948463191794
15,"MOCA",3.49617834394938,1.05914693842963
16,"MOCA",3.76437179487309,1.2726969953035
17,"MOCA",4.00629357798287,1.4803618893163
18,"MOCA",4.84395238095137,1.45020011072195
19,"MOCA",4.07960240963597,1.23724844980091
20,"MOCA",5.37384090909109,1.56620652898523
21,"MOCA",4.70834782608807,1.51089887703608
22,"MOCA",5.92008333333433,1.94243898630036
23,"MOCA",6.7140597014939,1.79380072519243
24,"MOCA",6.0612031249957,1.91781611277394
25,"MOCA",6.94535064934972,2.35534148464535
26,"MOCA",8.30310909091442,2.542508431354
27,"MOCA",8.79938297872271,3.10841614436523
28,"MOCA",10.8314035087768,6.40030302511414
29,"MOCA",8.55020000000174,4.58121339484276
30,"MOCA",10.4920638297849,4.00447578005827
31,"MOCA",10.3373666666681,4.93581480886094
32,"MOCA",18.0224375000053,10.7146344487047
33,"MOCA",17.1479210526296,8.43448291651612
34,"MOCA",21.6530000000065,11.6020750376138
35,"MOCA",18.0614999999946,9.27377780204047
36,"MOCA",16.2282962962938,8.33688134811589
37,"MOCA",25.7116842105223,15.101546705499
38,"MOCA",19.0481481481434,14.8656518885753
39,"MOCA",49.7233548387068,45.6668546433909
40,"MOCA",40.5916666666599,26.3528977928644
41,"MOCA",32.7448571428554,33.1770881315067
42,"MOCA",47.9629999999995,25.7170294487267
43,"MOCA",88.3007777777804,82.6154272382255
44,"MOCA",80.3725833333313,114.192866071313
45,"MOCA",49.8739166666698,45.8286262348361
46,"MOCA",107.932384615383,89.9896320938368
47,"MOCA",61.5151428571449,33.2307581842978
48,"MOCA",59.0991538461486,34.6501220482921
49,"MOCA",432.049333333345,482.362532818111
50,"MOCA",339.048200000008,164.809376233389
51,"MOCA",85.762235294115,61.6553245793746
52,"MOCA",436.528944444445,591.882757734145
53,"MOCA",214.645249999994,163.703222936599
54,"MOCA",512.375083333337,454.39254912791
55,"MOCA",465.715099999995,301.405615563146
56,"MOCA",194.878076923078,196.528029102167
57,"MOCA",138.548999999999,126.65332723699
58,"MOCA",483.169750000012,505.931069668516
59,"MOCA",223.529866666667,196.488661680725
